"","Dataset","Model","FS_Method","RA","CLR","logRA","PA"
"1","ART","Boosting","AE100",0.622662309368192,0.611742919389978,0.530126361655773,0.503725490196078
"2","ART","Boosting","AE50",0.549816993464052,0.622139433551198,0.495694989106754,0.602919389978213
"3","ART","Boosting","LASSO",0.58516339869281,0.555137254901961,0.565699346405229,0.624993464052288
"4","ART","Boosting","MIFS100",0.539790849673203,0.531006535947712,0.53116339869281,0.548653594771242
"5","ART","Boosting","MIFS50",0.489346405228758,0.521202614379085,0.529660130718954,0.52883660130719
"6","ART","Boosting","mRMR100",0.568901960784314,0.583111111111111,0.602196078431373,0.585895424836601
"7","ART","Boosting","mRMR50",0.586509803921569,0.53518954248366,0.600366013071895,0.570575163398693
"8","ART","Boosting","Relief100",0.605228758169935,0.587137254901961,0.597843137254902,0.617006535947712
"9","ART","Boosting","Relief50",0.590065359477124,0.602274509803922,0.603228758169935,0.605372549019608
"10","ART","Boosting","RF100",0.584522875816993,0.61597385620915,0.59043137254902,0.530549019607843
"11","ART","Boosting","RF50",0.591908496732026,0.579294117647059,0.606117647058824,0.518366013071895
"12","ART","Boosting","VAE",0.51077559912854,0.474074074074074,0.499742919389978,0.515825708061002
"13","ART","KNN","AE100",0.573736383442266,0.594152505446623,0.527895424836601,0.575089324618736
"14","ART","KNN","AE50",0.566570806100218,0.614978213507625,0.571494553376906,0.599559912854031
"15","ART","KNN","LASSO",0.541934640522876,0.560888888888889,0.580483660130719,0.609830065359477
"16","ART","KNN","MIFS100",0.538980392156863,0.530522875816993,0.551346405228758,0.526418300653595
"17","ART","KNN","MIFS50",0.49124183006536,0.525071895424837,0.518366013071895,0.527607843137255
"18","ART","KNN","mRMR100",0.506235294117647,0.493006535947712,0.569385620915033,0.5
"19","ART","KNN","mRMR50",0.52878431372549,0.489490196078431,0.597725490196078,0.493477124183006
"20","ART","KNN","Relief100",0.589803921568627,0.514679738562091,0.564326797385621,0.549986928104575
"21","ART","KNN","Relief50",0.595098039215686,0.524745098039216,0.547137254901961,0.501437908496732
"22","ART","KNN","RF100",0.530862745098039,0.541503267973856,0.571241830065359,0.494183006535948
"23","ART","KNN","RF50",0.532143790849673,0.557725490196079,0.583228758169935,0.504117647058823
"24","ART","KNN","VAE",0.585627450980392,0.545997821350763,0.458625272331155,0.60758605664488
"25","ART","LogisticRegression","AE100",0.522976034858388,0.609834422657952,0.528130718954248,0.556888888888889
"26","ART","LogisticRegression","AE50",0.51323311546841,0.636834422657952,0.526592592592593,0.550610021786492
"27","ART","LogisticRegression","LASSO",0.592718954248366,0.607660130718954,0.60475816993464,0.61356862745098
"28","ART","LogisticRegression","MIFS100",0.583777777777778,0.515921568627451,0.582875816993464,0.582078431372549
"29","ART","LogisticRegression","MIFS50",0.526718954248366,0.526954248366013,0.579320261437908,0.52356862745098
"30","ART","LogisticRegression","mRMR100",0.562366013071895,0.611477124183007,0.590457516339869,0.572248366013072
"31","ART","LogisticRegression","mRMR50",0.550522875816993,0.60002614379085,0.58681045751634,0.564169934640523
"32","ART","LogisticRegression","Relief100",0.505816993464052,0.671712418300654,0.639843137254902,0.591843137254902
"33","ART","LogisticRegression","Relief50",0.502287581699346,0.658091503267974,0.632732026143791,0.581032679738562
"34","ART","LogisticRegression","RF100",0.592444444444444,0.583529411764706,0.613359477124183,0.547045751633987
"35","ART","LogisticRegression","RF50",0.557385620915033,0.594287581699346,0.582091503267974,0.516248366013072
"36","ART","LogisticRegression","VAE",0.546627450980392,0.559010893246187,0.484976034858388,0.544832244008715
"37","ART","RandomForest","AE100",0.588616557734205,0.578832244008715,0.551298474945534,0.473372549019608
"38","ART","RandomForest","AE50",0.582004357298475,0.667082788671024,0.531527233115468,0.561723311546841
"39","ART","RandomForest","LASSO",0.572287581699346,0.508287581699346,0.56521568627451,0.596705882352941
"40","ART","RandomForest","MIFS100",0.536535947712418,0.501542483660131,0.568196078431373,0.570130718954248
"41","ART","RandomForest","MIFS50",0.482065359477124,0.503032679738562,0.578575163398693,0.530575163398693
"42","ART","RandomForest","mRMR100",0.580535947712418,0.587045751633987,0.628392156862745,0.564549019607843
"43","ART","RandomForest","mRMR50",0.593882352941176,0.579738562091503,0.58481045751634,0.570849673202614
"44","ART","RandomForest","Relief100",0.59640522875817,0.605725490196078,0.59275816993464,0.557124183006536
"45","ART","RandomForest","Relief50",0.617385620915033,0.612300653594771,0.59597385620915,0.564640522875817
"46","ART","RandomForest","RF100",0.569542483660131,0.610732026143791,0.599137254901961,0.557751633986928
"47","ART","RandomForest","RF50",0.571986928104575,0.605019607843137,0.611790849673203,0.51521568627451
"48","ART","RandomForest","VAE",0.491501089324619,0.534976034858388,0.512790849673203,0.521938997821351
"49","ART","SVM","AE100",0.524392156862745,0.533490196078431,0.452021786492375,0.46880174291939
"50","ART","SVM","AE50",0.524,0.576492374727669,0.478187363834423,0.513376906318083
"51","ART","SVM","LASSO",0.556143790849673,0.507058823529412,0.521934640522876,0.609908496732026
"52","ART","SVM","MIFS100",0.467464052287582,0.483529411764706,0.542771241830065,0.550339869281046
"53","ART","SVM","MIFS50",0.51116339869281,0.482823529411765,0.540993464052288,0.485607843137255
"54","ART","SVM","mRMR100",0.551882352941176,0.582196078431373,0.591843137254902,0.568718954248366
"55","ART","SVM","mRMR50",0.576483660130719,0.591267973856209,0.594575163398693,0.563294117647059
"56","ART","SVM","Relief100",0.592875816993464,0.629281045751634,0.649150326797386,0.567477124183007
"57","ART","SVM","Relief50",0.523856209150327,0.614457516339869,0.640732026143791,0.571045751633987
"58","ART","SVM","RF100",0.526849673202614,0.59440522875817,0.601921568627451,0.541450980392157
"59","ART","SVM","RF50",0.579607843137255,0.578326797385621,0.604392156862745,0.506209150326797
"60","ART","SVM","VAE",0.496091503267974,0.492657952069717,0.440614379084967,0.501355119825708
"61","CD1","Boosting","AE100",0.701401709401709,0.788505341880342,0.706306623931624,0.708632478632479
"62","CD1","Boosting","AE50",0.712994658119658,0.712482905982906,0.626221153846154,0.668100427350427
"63","CD1","Boosting","LASSO",0.794375,0.764387820512821,0.750964743589744,0.720198717948718
"64","CD1","Boosting","MIFS100",0.697014423076923,0.743551282051282,0.722291666666667,0.638376602564103
"65","CD1","Boosting","MIFS50",0.63519391025641,0.735241987179487,0.699964743589744,0.567354166666667
"66","CD1","Boosting","mRMR100",0.798019230769231,0.779423076923077,0.752833333333333,0.738009615384615
"67","CD1","Boosting","mRMR50",0.78888782051282,0.786395833333333,0.755048076923077,0.727653846153846
"68","CD1","Boosting","Relief100",0.719262820512821,0.713269230769231,0.739198717948718,0.732400641025641
"69","CD1","Boosting","Relief50",0.718189102564103,0.707136217948718,0.730304487179487,0.723719551282051
"70","CD1","Boosting","RF100",0.783467948717949,0.767929487179487,0.746346153846154,0.729714743589744
"71","CD1","Boosting","RF50",0.782278846153846,0.758886217948718,0.745541666666667,0.734673076923077
"72","CD1","Boosting","VAE",0.551073717948718,0.607824786324786,0.606595085470085,0.574370726495727
"73","CD1","KNN","AE100",0.69045405982906,0.720680555555555,0.702654914529914,0.676148504273504
"74","CD1","KNN","AE50",0.714155982905983,0.725548611111111,0.685763354700855,0.733605769230769
"75","CD1","KNN","LASSO",0.640025641025641,0.773608974358974,0.783357371794872,0.751237179487179
"76","CD1","KNN","MIFS100",0.70204967948718,0.776323717948718,0.722240384615385,0.660623397435897
"77","CD1","KNN","MIFS50",0.627721153846154,0.757951923076923,0.744456730769231,0.562346153846154
"78","CD1","KNN","mRMR100",0.670633012820513,0.802796474358974,0.800100961538462,0.763142628205128
"79","CD1","KNN","mRMR50",0.694910256410256,0.795514423076923,0.801826923076923,0.750947115384616
"80","CD1","KNN","Relief100",0.632107371794872,0.712195512820513,0.718078525641026,0.722605769230769
