,Dataset,Model,AUC,AUC Std. Dev.,Accuracy,Time,FS_Method
0,CRC1,RandomForest,0.6600980311730926,0.0525118634084103,0.6302058667890773,7.036898384094238,AE50
1,CRC1,Boosting,0.6466337547239926,0.0582959958548321,0.6171016285301999,3.604768037796021,AE50
2,CRC1,KNN,0.6317067759057095,0.0613238900198613,0.5844305457265693,0.2654616928100586,AE50
3,CRC1,LogisticRegression,0.6816772049388947,0.0565855391025603,0.6313882778978508,0.2234105205535888,AE50
4,CRC1,SVM,0.6891508557525783,0.0507161029378412,0.6395397696723175,0.4035704040527343,AE50
10,CRC2,RandomForest,0.812939393939394,0.1049709119609935,0.7352727272727272,5.33343547821045,AE50
11,CRC2,Boosting,0.7849292929292929,0.0896657034413679,0.7114545454545456,1.7770386505126954,AE50
12,CRC2,KNN,0.807939393939394,0.0871075843535628,0.7249090909090908,0.1852405452728271,AE50
13,CRC2,LogisticRegression,0.8206161616161616,0.1039991553025431,0.7256363636363636,0.1808802700042724,AE50
14,CRC2,SVM,0.7564848484848485,0.1378757671626775,0.644,0.1711583995819091,AE50
15,CD1,RandomForest,0.7544497863247863,0.072653689708632,0.6815161466885605,5.433978052139282,AE50
16,CD1,Boosting,0.712482905982906,0.0844014926428029,0.6538788542236819,1.9431955242156984,AE50
17,CD1,KNN,0.7255486111111111,0.0906846088732214,0.684002919175333,0.196024751663208,AE50
18,CD1,LogisticRegression,0.777017094017094,0.0718430855992818,0.7159332238642584,0.1953640174865722,AE50
19,CD1,SVM,0.7874978632478633,0.0690311571598789,0.6279328589673416,0.19204345703125,AE50
20,CD2,RandomForest,0.8272938757149284,0.0665194004412601,0.7483980938416422,5.513235960006714,AE50
21,CD2,Boosting,0.8297300944669366,0.0743929732384459,0.7573448191593352,1.981844244003296,AE50
22,CD2,KNN,0.7590771801298116,0.0523995391775283,0.6767790811339198,0.1932386875152588,AE50
23,CD2,LogisticRegression,0.8372379667116508,0.049135039693631,0.7584005376344086,0.1946450042724609,AE50
