,Dataset,Model,AUC,AUC Std. Dev.,Accuracy,Time,FS_Method
0,CRC1,RandomForest,0.627099296747369,0.0556483663781643,0.6090098119847752,6.963221044540405,AE50
1,CRC1,Boosting,0.620056000785287,0.0524949858291764,0.5845185709397785,3.767104530334473,AE50
2,CRC1,KNN,0.6100927585312327,0.0537550765918655,0.5887459488637692,0.2645391178131103,AE50
3,CRC1,LogisticRegression,0.5965553732567679,0.0604393513397045,0.5542382376255719,0.2053461360931396,AE50
4,CRC1,SVM,0.6491224451876626,0.0532265173329352,0.6098225256988143,0.399649429321289,AE50
10,CRC2,RandomForest,0.7306868686868687,0.1034351848529538,0.6576363636363637,5.282584228515625,AE50
11,CRC2,Boosting,0.685060606060606,0.1108992396868716,0.6383636363636365,1.7986035346984863,AE50
12,CRC2,KNN,0.7021767676767677,0.1102774700284603,0.6521818181818182,0.1885027980804443,AE50
13,CRC2,LogisticRegression,0.7415656565656567,0.1271625103975502,0.7083636363636364,0.1773996925354004,AE50
14,CRC2,SVM,0.7400151515151515,0.1271767711867091,0.6489090909090909,0.1706781196594238,AE50
15,CD1,RandomForest,0.7446709401709402,0.1000081044112558,0.6999945265462507,5.42465612411499,AE50
16,CD1,Boosting,0.7129946581196581,0.0950043433684783,0.650295566502463,2.06896409034729,AE50
17,CD1,KNN,0.7141559829059829,0.0926970823828471,0.6510144134282065,0.1871827316284179,AE50
18,CD1,LogisticRegression,0.7075299145299146,0.097820692201577,0.6667998540412334,0.175079231262207,AE50
19,CD1,SVM,0.6894647435897435,0.1340310982784216,0.6651103813172778,0.1952439785003662,AE50
20,CD2,RandomForest,0.6825814536340852,0.0946024735381167,0.6482392473118278,5.542922477722168,AE50
21,CD2,Boosting,0.6821778805989333,0.0780117191196218,0.6421004398826979,2.073784885406494,AE50
22,CD2,KNN,0.6593866075445023,0.112571212900097,0.6028494623655913,0.1914025592803955,AE50
23,CD2,LogisticRegression,0.6962251783304416,0.091652670724181,0.6310373900293255,0.1754195117950439,AE50
24,CD2,SVM,0.6944624381466487,0.118362772430236,0.6494538123167156,0.2162891483306884,AE50
25,PAR1,RandomForest,0.575665306122449,0.0892285683571027,0.5348571428571429,5.466145782470703,AE50
