Dataset,Boosting,KNN,LogisticRegression,RandomForest,SVM
CDI,0.9092418546365916,0.6929447129729084,0.9224143692564744,0.9034944504117436,0.9216359350757848
CIR,0.7592848484848485,0.5722787878787879,0.8705333333333333,0.7992060606060606,0.8389212121212123
CRC1,0.65101998275173,0.5695970600814736,0.6750141001100805,0.689632583804856,0.6710840888215786
CRC2,0.6376296296296295,0.7421077441077442,0.7844511784511785,0.8178484848484848,0.7326464646464647
CD1,0.7375448717948718,0.7503990384615384,0.7817115384615385,0.7864118589743591,0.7869070512820514
CD2,0.7853177816335711,0.7590338024548552,0.812002442002442,0.8292481203007519,0.81324657798342
HIV,0.7356428988895383,0.6938157288844023,0.7586568195101218,0.690299001115775,0.7692321520287622
IBD1,0.7796813186813187,0.7748791208791208,0.813945054945055,0.8173516483516484,0.8071538461538462
IBD2,0.611921855921856,0.6727374847374847,0.6915750915750916,0.6991233211233212,0.7108840048840048
MHE,0.7144242424242424,0.6734545454545454,0.788290909090909,0.806218181818182,0.7915151515151515
OB,0.8658682983682984,0.7708682983682984,0.9314102564102564,0.8474329836829837,0.9349708624708624
PAR1,0.5828571428571429,0.5450539682539683,0.6458412698412698,0.6422984126984127,0.4728126984126984
PAR2,0.7174655340143145,0.6761216037801403,0.7740159127232298,0.7503490549649087,0.7684454172746856
PAR3,0.7524006699006699,0.6824140967890968,0.7876701605451605,0.7531286238161239,0.7803829695079695
ART,0.5771764705882352,0.5485098039215687,0.6098562091503268,0.5374771241830065,0.497202614379085
