Dataset,Model,AUC,Method,Normalization
CDI,Boosting,0.9264127580856903,None,TSS
CIR,Boosting,0.790569696969697,None,TSS
CRC1,Boosting,0.627909551755327,None,TSS
CRC2,Boosting,0.7086464646464647,None,TSS
CD1,Boosting,0.7927788461538462,None,TSS
CD2,Boosting,0.8131990231990233,None,TSS
HIV,Boosting,0.7791002072153446,None,TSS
IBD1,Boosting,0.747769230769231,None,TSS
IBD2,Boosting,0.6647619047619048,None,TSS
MHE,Boosting,0.6879151515151516,None,TSS
OB,Boosting,0.806427738927739,None,TSS
PAR1,Boosting,0.6731301587301588,None,TSS
PAR2,Boosting,0.7401819539990271,None,TSS
PAR3,Boosting,0.7832286902286902,None,TSS
ART,Boosting,0.5863529411764705,None,TSS
CDI,KNN,0.6106083661534789,None,TSS
CIR,KNN,0.6321818181818182,None,TSS
CRC1,KNN,0.557048687799303,None,TSS
CRC2,KNN,0.683070707070707,None,TSS
CD1,KNN,0.6835689102564103,None,TSS
CD2,KNN,0.6767158280316175,None,TSS
HIV,KNN,0.5786080264952269,None,TSS
IBD1,KNN,0.7354285714285715,None,TSS
IBD2,KNN,0.6356996336996337,None,TSS
MHE,KNN,0.5423393939393939,None,TSS
OB,KNN,0.8005215617715618,None,TSS
PAR1,KNN,0.5702666666666666,None,TSS
PAR2,KNN,0.5987653394482663,None,TSS
PAR3,KNN,0.5297304082929083,None,TSS
ART,KNN,0.5681307189542484,None,TSS
CDI,LogisticRegression,0.8081495405179616,None,TSS
CIR,LogisticRegression,0.5728363636363636,None,TSS
CRC1,LogisticRegression,0.6403323517244764,None,TSS
CRC2,LogisticRegression,0.753872053872054,None,TSS
CD1,LogisticRegression,0.7468461538461538,None,TSS
CD2,LogisticRegression,0.7735222672064778,None,TSS
HIV,LogisticRegression,0.7764872571418451,None,TSS
IBD1,LogisticRegression,0.7057032967032967,None,TSS
IBD2,LogisticRegression,0.5785152625152625,None,TSS
MHE,LogisticRegression,0.6743393939393938,None,TSS
OB,LogisticRegression,0.8402738927738927,None,TSS
PAR1,LogisticRegression,0.5749968253968254,None,TSS
PAR2,LogisticRegression,0.6395527065527065,None,TSS
PAR3,LogisticRegression,0.651914039039039,None,TSS
ART,LogisticRegression,0.6416993464052289,None,TSS
CDI,RandomForest,0.8972693638859053,None,TSS
CIR,RandomForest,0.8468484848484849,None,TSS
CRC1,RandomForest,0.6882251915890143,None,TSS
CRC2,RandomForest,0.8247272727272726,None,TSS
CD1,RandomForest,0.8072692307692307,None,TSS
CD2,RandomForest,0.8297210976158346,None,TSS
HIV,RandomForest,0.716522811398615,None,TSS
IBD1,RandomForest,0.7818131868131867,None,TSS
IBD2,RandomForest,0.6892527472527473,None,TSS
MHE,RandomForest,0.8115818181818182,None,TSS
OB,RandomForest,0.8686247086247088,None,TSS
PAR1,RandomForest,0.6898349206349207,None,TSS
PAR2,RandomForest,0.7475655096935586,None,TSS
PAR3,RandomForest,0.7769632420882422,None,TSS
ART,RandomForest,0.6047843137254901,None,TSS
CDI,SVM,0.7997610096670248,None,TSS
CIR,SVM,0.5619030303030302,None,TSS
CRC1,SVM,0.650419799050644,None,TSS
CRC2,SVM,0.7564983164983166,None,TSS
CD1,SVM,0.7194198717948717,None,TSS
CD2,SVM,0.7137973137973138,None,TSS
HIV,SVM,0.7909853355294619,None,TSS
IBD1,SVM,0.5978021978021978,None,TSS
IBD2,SVM,0.5809181929181929,None,TSS
MHE,SVM,0.5133696969696969,None,TSS
OB,SVM,0.8703613053613053,None,TSS
PAR1,SVM,0.4741523809523809,None,TSS
PAR2,SVM,0.6172825029532346,None,TSS
PAR3,SVM,0.6271874133749133,None,TSS
ART,SVM,0.5663267973856209,None,TSS
CDI,Boosting,0.90952918009309,Rare,TSS
CIR,Boosting,0.5155454545454545,Rare,TSS
CRC1,Boosting,0.627909551755327,Rare,TSS
CRC2,Boosting,0.728915824915825,Rare,TSS
CD1,Boosting,0.7785384615384616,Rare,TSS
CD2,Boosting,0.7120834136623609,Rare,TSS
HIV,Boosting,0.6487521917007598,Rare,TSS
IBD1,Boosting,0.7618846153846154,Rare,TSS
IBD2,Boosting,0.5028180708180708,Rare,TSS
MHE,Boosting,0.5078848484848484,Rare,TSS
OB,Boosting,0.6214685314685314,Rare,TSS
PAR1,Boosting,0.6246730158730159,Rare,TSS
PAR2,Boosting,0.7111074977416442,Rare,TSS
PAR3,Boosting,0.7866334026334028,Rare,TSS
ART,Boosting,0.6566535947712419,Rare,TSS
CDI,KNN,0.5876927437641724,Rare,TSS
CIR,KNN,0.5156969696969697,Rare,TSS
CRC1,KNN,0.557048687799303,Rare,TSS
CRC2,KNN,0.6563164983164984,Rare,TSS
CD1,KNN,0.6604310897435898,Rare,TSS
CD2,KNN,0.6566859456333141,Rare,TSS
HIV,KNN,0.6321928076793653,Rare,TSS
IBD1,KNN,0.6735494505494506,Rare,TSS
IBD2,KNN,0.5513675213675214,Rare,TSS
MHE,KNN,0.4824,Rare,TSS
OB,KNN,0.6297319347319348,Rare,TSS
PAR1,KNN,0.5960761904761904,Rare,TSS
PAR2,KNN,0.598922521020082,Rare,TSS
PAR3,KNN,0.5084944848694849,Rare,TSS
ART,KNN,0.5656339869281046,Rare,TSS
CDI,LogisticRegression,0.8099236185702351,Rare,TSS
CIR,LogisticRegression,0.5717212121212121,Rare,TSS
CRC1,LogisticRegression,0.6402984651844373,Rare,TSS
CRC2,LogisticRegression,0.780080808080808,Rare,TSS
CD1,LogisticRegression,0.7482307692307693,Rare,TSS
CD2,LogisticRegression,0.7509562367457104,Rare,TSS
HIV,LogisticRegression,0.7685847369073552,Rare,TSS
IBD1,LogisticRegression,0.7181428571428572,Rare,TSS
IBD2,LogisticRegression,0.5877704517704517,Rare,TSS
MHE,LogisticRegression,0.6197818181818182,Rare,TSS
OB,LogisticRegression,0.7321445221445222,Rare,TSS
PAR1,LogisticRegression,0.5652571428571429,Rare,TSS
PAR2,LogisticRegression,0.6378635953026197,Rare,TSS
PAR3,LogisticRegression,0.6520426484176484,Rare,TSS
ART,LogisticRegression,0.655607843137255,Rare,TSS
CDI,RandomForest,0.8993637367227594,Rare,TSS
CIR,RandomForest,0.6044545454545455,Rare,TSS
CRC1,RandomForest,0.6882251915890143,Rare,TSS
CRC2,RandomForest,0.8034545454545453,Rare,TSS
CD1,RandomForest,0.8218637820512821,Rare,TSS
CD2,RandomForest,0.7862026862026862,Rare,TSS
HIV,RandomForest,0.7756164656500718,Rare,TSS
IBD1,RandomForest,0.7524395604395605,Rare,TSS
IBD2,RandomForest,0.6174700854700855,Rare,TSS
MHE,RandomForest,0.5742909090909091,Rare,TSS
OB,RandomForest,0.7192045454545454,Rare,TSS
PAR1,RandomForest,0.6573079365079366,Rare,TSS
PAR2,RandomForest,0.7303838510179973,Rare,TSS
PAR3,RandomForest,0.771386319011319,Rare,TSS
ART,RandomForest,0.6193594771241829,Rare,TSS
CDI,SVM,0.7991941162429884,Rare,TSS
CIR,SVM,0.5042060606060607,Rare,TSS
CRC1,SVM,0.650419799050644,Rare,TSS
CRC2,SVM,0.7382356902356902,Rare,TSS
CD1,SVM,0.7327435897435898,Rare,TSS
CD2,SVM,0.6764459224985541,Rare,TSS
HIV,SVM,0.7847647131749994,Rare,TSS
IBD1,SVM,0.7006593406593408,Rare,TSS
IBD2,SVM,0.5444078144078144,Rare,TSS
MHE,SVM,0.4694909090909091,Rare,TSS
OB,SVM,0.719020979020979,Rare,TSS
PAR1,SVM,0.4998412698412698,Rare,TSS
PAR2,SVM,0.6137439024390244,Rare,TSS
PAR3,SVM,0.6313926715176715,Rare,TSS
ART,SVM,0.5749803921568628,Rare,TSS
CDI,Boosting,0.912033338774918,RareQ5,TSS
CIR,Boosting,0.5868444444444445,RareQ5,TSS
CRC1,Boosting,0.627909551755327,RareQ5,TSS
CRC2,Boosting,0.7278181818181818,RareQ5,TSS
CD1,Boosting,0.7561313131313132,RareQ5,TSS
CD2,Boosting,0.7413247863247864,RareQ5,TSS
HIV,Boosting,0.7541511216056671,RareQ5,TSS
IBD1,Boosting,0.7333846153846153,RareQ5,TSS
IBD2,Boosting,0.6707834757834757,RareQ5,TSS
MHE,Boosting,0.5661999999999999,RareQ5,TSS
OB,Boosting,0.7632967303699012,RareQ5,TSS
PAR1,Boosting,0.6960973312401885,RareQ5,TSS
PAR2,Boosting,0.7191125506072873,RareQ5,TSS
PAR3,Boosting,0.7528564055859138,RareQ5,TSS
ART,Boosting,0.5203382352941177,RareQ5,TSS
CDI,KNN,0.5712866626761713,RareQ5,TSS
CIR,KNN,0.626,RareQ5,TSS
CRC1,KNN,0.557048687799303,RareQ5,TSS
CRC2,KNN,0.6393737373737374,RareQ5,TSS
CD1,KNN,0.6342752525252525,RareQ5,TSS
CD2,KNN,0.597079772079772,RareQ5,TSS
HIV,KNN,0.7452609208972847,RareQ5,TSS
IBD1,KNN,0.6759999999999999,RareQ5,TSS
IBD2,KNN,0.597948717948718,RareQ5,TSS
MHE,KNN,0.6105999999999999,RareQ5,TSS
OB,KNN,0.814611445465104,RareQ5,TSS
PAR1,KNN,0.6040266875981161,RareQ5,TSS
PAR2,KNN,0.601723076923077,RareQ5,TSS
PAR3,KNN,0.5218290831815423,RareQ5,TSS
ART,KNN,0.5503553921568628,RareQ5,TSS
CDI,LogisticRegression,0.8553602631308459,RareQ5,TSS
CIR,LogisticRegression,0.4945777777777778,RareQ5,TSS
CRC1,LogisticRegression,0.6411366469643747,RareQ5,TSS
CRC2,LogisticRegression,0.7376666666666667,RareQ5,TSS
CD1,LogisticRegression,0.7235656565656565,RareQ5,TSS
CD2,LogisticRegression,0.7686467236467236,RareQ5,TSS
HIV,LogisticRegression,0.7463105076741441,RareQ5,TSS
IBD1,LogisticRegression,0.691076923076923,RareQ5,TSS
IBD2,LogisticRegression,0.5342450142450142,RareQ5,TSS
MHE,LogisticRegression,0.5684,RareQ5,TSS
OB,LogisticRegression,0.8292031816422061,RareQ5,TSS
PAR1,LogisticRegression,0.5985787545787545,RareQ5,TSS
PAR2,LogisticRegression,0.6204032388663968,RareQ5,TSS
PAR3,LogisticRegression,0.6541247723132969,RareQ5,TSS
ART,LogisticRegression,0.5852990196078431,RareQ5,TSS
CDI,RandomForest,0.9072121552907316,RareQ5,TSS
CIR,RandomForest,0.7611555555555556,RareQ5,TSS
CRC1,RandomForest,0.6882251915890143,RareQ5,TSS
CRC2,RandomForest,0.8311717171717173,RareQ5,TSS
CD1,RandomForest,0.8211666666666667,RareQ5,TSS
CD2,RandomForest,0.8013319088319087,RareQ5,TSS
HIV,RandomForest,0.7846912632821723,RareQ5,TSS
IBD1,RandomForest,0.7756923076923077,RareQ5,TSS
IBD2,RandomForest,0.6391595441595441,RareQ5,TSS
MHE,RandomForest,0.7472,RareQ5,TSS
OB,RandomForest,0.8791283039453772,RareQ5,TSS
PAR1,RandomForest,0.6886101517530089,RareQ5,TSS
PAR2,RandomForest,0.7345012145748987,RareQ5,TSS
PAR3,RandomForest,0.7722551608986037,RareQ5,TSS
ART,RandomForest,0.6910122549019608,RareQ5,TSS
CDI,SVM,0.8203907662355722,RareQ5,TSS
CIR,SVM,0.4716444444444445,RareQ5,TSS
CRC1,SVM,0.650419799050644,RareQ5,TSS
CRC2,SVM,0.67360101010101,RareQ5,TSS
CD1,SVM,0.7060252525252525,RareQ5,TSS
CD2,SVM,0.6597578347578348,RareQ5,TSS
HIV,SVM,0.7659197166469893,RareQ5,TSS
IBD1,SVM,0.6629230769230768,RareQ5,TSS
IBD2,SVM,0.4728133903133903,RareQ5,TSS
MHE,SVM,0.3984,RareQ5,TSS
