Dataset,Boosting,KNN,LogisticRegression,RandomForest,SVM
CDI,0.9209115049528585,0.7194624955245256,0.9168077932927556,0.8414549767275331,0.9071649361498986
CIR,0.8416848484848484,0.5976727272727272,0.8328242424242426,0.8027272727272728,0.7948969696969695
CRC1,0.627909551755327,0.582797027828611,0.666451441913296,0.6910433590655084,0.6691336705860906
CRC2,0.6436632996632996,0.6548754208754209,0.7934410774410775,0.6256734006734007,0.7763973063973063
CD1,0.7549230769230769,0.5967243589743589,0.8271089743589745,0.6626570512820513,0.8080416666666668
CD2,0.7933204806889016,0.6236925647451963,0.8256101792943897,0.68044341623289,0.8119423558897242
HIV,0.7302777925367054,0.5585757044436179,0.8237432477905885,0.6911554912066309,0.7856911605830367
IBD1,0.7851538461538462,0.7134395604395606,0.8323516483516484,0.7672967032967033,0.8402307692307691
IBD2,0.6227448107448107,0.5904688644688645,0.6431404151404152,0.5803125763125764,0.6031208791208791
MHE,0.727339393939394,0.7453636363636365,0.7365333333333334,0.7176363636363636,0.8116
OB,0.8080594405594407,0.7402942890442891,0.9108333333333334,0.8017395104895104,0.9104428904428904
PAR1,0.7340444444444444,0.6280761904761905,0.6733587301587302,0.628584126984127,0.6712253968253968
PAR2,0.7193231186158014,0.5389002501563478,0.767195695226183,0.6031254951011049,0.7450911159752622
PAR3,0.7745315892815893,0.6473758373758375,0.77469712982213,0.7018588011088012,0.7844225427350427
ART,0.6256209150326797,0.5818692810457516,0.6304183006535947,0.5706535947712418,0.5376209150326797
